team,offense_epa_per_play,defense_epa_per_play,season,team_full_name,Year,Team,GINI,GINI_gini30,GINI_gini40,GINI_gini50
NYG,-0.07080628,0.02438187,2019,New York Giants,2019,New York Giants,0.4300541548813958,0.5293264369872975,0.5788362620976654,0.6254415404254834
NYJ,-0.13256721,-0.046172634,2019,New York Jets,2019,New York Jets,0.3646134835618028,0.4786095516501331,0.5368191597956024,0.5911192859770389
PHI,-0.005377184,-0.023095446,2019,Philadelphia Eagles,2019,Philadelphia Eagles,0.3543456779810339,0.4599704567841743,0.5323584449197947,0.6046399251695083
PIT,-0.13336354,-0.11713836,2019,Pittsburgh Steelers,2019,Pittsburgh Steelers,0.3586291805332121,0.4724096496141506,0.5337895240386068,0.58625162839975
SEA,0.006933061,-0.002162465,2019,Seattle Seahawks,2019,Seattle Seahawks,0.4841532546178221,0.568467825146686,0.6087038594972328,0.6564642798165587
TB,-0.028718151,-0.03681219,2019,Tampa Bay Buccaneers,2019,Tampa Bay Buccaneers,0.3645036500112313,0.4861428130859573,0.5536748537545624,0.6162102838887634
TEN,0.02984715,-0.03136112,2019,Tennessee Titans,2019,Tennessee Titans,0.3476292557341796,0.4450323994271921,0.5258378546753995,0.5937227759718319
WAS,-0.10833682,0.047861047,2019,Washington Commanders,2019,Washington Commanders,0.3645371660243692,0.4568015183316235,0.5124758371779332,0.5916494944150319
ARI,0.017034711,-0.021404784,2020,Arizona Cardinals,2020,Arizona Cardinals,0.362069209847092,0.477034665623639,0.5263251295631005,0.561761889784326
ATL,0.025502674,0.033377074,2020,Atlanta Falcons,2020,Atlanta Falcons,0.3996355799701381,0.5093157270919675,0.5620453238448209,0.5867203156734482
BAL,0.06959085,-0.063645855,2020,Baltimore Ravens,2020,Baltimore Ravens,0.3878124965639514,0.4895445309508412,0.52996925541171,0.5614311595117377
BUF,0.11654854,0.020003824,2020,Buffalo Bills,2020,Buffalo Bills,0.1855217776211628,0.3125552717505231,0.4249368277255186,0.4948987100589938
CAR,0.0137054445,0.059326734,2020,Carolina Panthers,2020,Carolina Panthers,0.3977460019654516,0.4737059815964361,0.5165535116844395,0.5543792493012707
CHI,-0.026125876,-0.013850053,2020,Chicago Bears,2020,Chicago Bears,0.418844389956176,0.5357983572402982,0.5833545276478345,0.6102131245392742
CIN,-0.036960404,0.06372796,2020,Cincinnati Bengals,2020,Cincinnati Bengals,0.3939354638456758,0.4646415223033001,0.5066461960280435,0.5399280271554076
CLE,0.056776326,0.058374807,2020,Cleveland Browns,2020,Cleveland Browns,0.3460901104096244,0.4594191082785154,0.5220574826195538,0.5673834054525687
DAL,-0.02756411,0.03872197,2020,Dallas Cowboys,2020,Dallas Cowboys,0.4247574424225178,0.496843690869067,0.532388304394978,0.5654571758496315
DEN,-0.06806315,0.03384381,2020,Denver Broncos,2020,Denver Broncos,0.4291556259976766,0.5019693387051865,0.5342598047355543,0.5764043972797425
DET,-0.007845267,0.11783229,2020,Detroit Lions,2020,Detroit Lions,0.3326598587808525,0.4355975054856029,0.4976029206869656,0.5443918096199856
GB,0.14955308,0.030288447,2020,Green Bay Packers,2020,Green Bay Packers,0.4154875160022555,0.5262227296008553,0.5830742641393813,0.6255884538929284
HOU,0.04984929,0.11096339,2020,Houston Texans,2020,Houston Texans,0.3861122768621934,0.5025841435989138,0.5537916580305288,0.6138870501019934
IND,0.05521245,-0.026190884,2020,Indianapolis Colts,2020,Indianapolis Colts,0.4743318248953883,0.5701767731152858,0.6175946948613205,0.6463663336705937
JAX,-0.06699501,0.09391888,2020,Jacksonville Jaguars,2020,Jacksonville Jaguars,0.4768892202895567,0.5257297518469077,0.5417051758488365,0.5812796450546116
KC,0.13269272,0.057777062,2020,Kansas City Chiefs,2020,Kansas City Chiefs,0.4383739006837278,0.5548846406107768,0.6083885459467041,0.6408820688193955
LAC,-0.026716884,0.012261852,2020,Los Angeles Chargers,2020,Los Angeles Chargers,0.3254800636804457,0.4636091005045319,0.524777135601856,0.5666546293486816
LV,0.047872048,0.08561783,2020,Las Vegas Raiders,2020,Las Vegas Raiders,0.3726065159288691,0.4708942244245479,0.5347633105942191,0.5722348238020415
MIA,0.013153519,-0.050810445,2020,Miami Dolphins,2020,Miami Dolphins,0.3296635875297262,0.4396404891582244,0.511585425871147,0.5583212303924983
MIN,0.030085407,0.080153786,2020,Minnesota Vikings,2020,Minnesota Vikings,0.5200655913824224,0.5695628247989265,0.5851660538095309,0.6211096248289553
NE,0.009286119,0.032166243,2020,New England Patriots,2020,New England Patriots,0.3502450952895297,0.4260668652694152,0.473637215123861,0.5272826233116377
NO,0.043926854,-0.06356172,2020,New Orleans Saints,2020,New Orleans Saints,0.2808759759952589,0.3453772352074171,0.4342654283378466,0.4915226337074336
NYG,-0.04890843,0.015790153,2020,New York Giants,2020,New York Giants,0.3423833688542216,0.440653734708109,0.5089316554672833,0.5529517422536447
NYJ,-0.13135168,0.05845546,2020,New York Jets,2020,New York Jets,0.4557691699957021,0.5090865582026156,0.5375099246470073,0.5949622254397836
PHI,-0.064318545,0.011880559,2020,Philadelphia Eagles,2020,Philadelphia Eagles,0.4620847317046164,0.5555390968997821,0.5989914675617131,0.6533349584529047
PIT,0.0054364474,-0.069642164,2020,Pittsburgh Steelers,2020,Pittsburgh Steelers,0.4150504911798749,0.5074857673364277,0.5526169251002541,0.58411920629869
SEA,0.07431919,0.013569479,2020,Seattle Seahawks,2020,Seattle Seahawks,0.4363574648120513,0.5225692212692502,0.5748069720001258,0.6075455660926474
TB,0.08903034,-0.041465852,2020,Tampa Bay Buccaneers,2020,Tampa Bay Buccaneers,0.3860258093286612,0.4936893915020684,0.555312528084624,0.5921177677677323
TEN,0.12118,0.0881211,2020,Tennessee Titans,2020,Tennessee Titans,0.4252047093154747,0.5326896100137418,0.5771136451513594,0.6232635764896267
WAS,-0.044543702,-0.035055332,2020,Washington Commanders,2020,Washington Commanders,0.3986352888459944,0.4765599590622686,0.5362899071881876,0.5930093623809736
ARI,0.011775128,-0.043818057,2021,Arizona Cardinals,2021,Arizona Cardinals,0.3924234613783912,0.4780591812283756,0.51878558646483,0.5440218277589003
ATL,-0.07885477,0.046324182,2021,Atlanta Falcons,2021,Atlanta Falcons,0.5262328340486663,0.5796101053442401,0.5934551727246444,0.607938171234786
BAL,0.005229939,0.015750917,2021,Baltimore Ravens,2021,Baltimore Ravens,0.3195909951101296,0.4121989305721247,0.4571846358532166,0.4880320845615684
BUF,0.0835494,-0.0801123,2021,Buffalo Bills,2021,Buffalo Bills,0.2036944309910424,0.34427733495466,0.4270979909721383,0.4756455769138392
CAR,-0.1287469,-0.049860176,2021,Carolina Panthers,2021,Carolina Panthers,0.333163615333522,0.4217382637075914,0.4563439368864863,0.4978193908117712
